text,is_rumor,user.handle,created
Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson,0,annaxsweat,1407623586000.0
Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson,0,annaxsweat,1407623586000.0
@annaxsweat @NeoSoulPol Same thing when #Trayvon was killed by #Zimmerman the wanna-be cop. 17yrs old #Black teen is a man to them.,0,NavyDad0007,1407625441000.0
@annaxsweat http://t.co/Z7Qm4iaoSR,0,bells110,1407630733000.0
@annaxsweat #StopThugCops We have to take action to stop this insanity. #Ferguson,0,bells110,1407631043000.0
"@annaxsweat @KidFriendlyCamb 17 year olds can be prosecuted as adults, regardless of color. Sorry, but try again.",0,Michael2014abc,1407632469000.0
"@annaxsweat well, he damn sure ain't a child",0,HighPlainsCoot,1407642028000.0
@HighPlainsCoot fuck. Off.,0,annaxsweat,1407642141000.0
@annaxsweat the response of a leftist toker. it's just like stuttering w/ u ppl.,0,HighPlainsCoot,1407642308000.0
"@annaxsweat such talk from a lady(?). senseless, so u r blocked",0,HighPlainsCoot,1407665650000.0
@annaxsweat: Soooo wonderfully said! Thank you for your tweet! I'm RTing!,0,FloridaRenz,1407691263000.0
@annaxsweat 18*,0,AlexisAStevens,1407736731000.0
@AlexisAStevens yeah that tweet was written before that was clarified. Sentiment still holds. Thanks.,0,annaxsweat,1407754705000.0
"@annaxsweat @_yellow_paiges_ goes back to Dave Chappelle's ""how old is 15 really?"" bit
https://t.co/KyJmhZlXQO",0,markyd_s,1407769142000.0
@annaxsweat after several hours someone noticed,0,Don_Kerouac,1407770142000.0
The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/YlxEDKoebB,0,AntonioFrench,1407626653000.0
@AntonioFrench where can we find the footage at? Any suggestions? #FergusonPolice,0,MeghanOMG,1407626883000.0
@MeghanOMG @AntonioFrench follow @KMOV reporter @BrittanyNoble,0,LiZMacFarland,1407627176000.0
@LiZMacFarland gracias! Much appreciated!,0,MeghanOMG,1407627226000.0
“@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/V1nYAyKIz9”,0,KeshRue,1407627310000.0
her baby. “@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/eiYpF6SnJx”,0,muhriyahhh_,1407627821000.0
“@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/5bH90a75mT” just SAD!,0,MissAanye,1407628584000.0
@AntonioFrench @AngieinWAState Cops on speed. Time we cleaned out the police depts. made them do psychological testing. This is a horror.,0,dragonlady9947,1407628644000.0
@MeghanOMG @AntonioFrench Where is ferguson?,0,dragonlady9947,1407628849000.0
@dragonlady9947 Ferguson is a municipality in St. Louis County.,0,MeghanOMG,1407629146000.0
No words...“@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/WIV8yVkxUm”,0,Thinking_mom,1407629762000.0
@AntonioFrench @b9AcE guess the cops were protecting and serving the community again. 😞 #Justice4Mike,0,genxgina,1407630133000.0
@MeghanOMG @AntonioFrench http://t.co/wadvq9Xz1E,0,RottDawg,1407630474000.0
@RottDawg damn I just can't believe this,0,MeghanOMG,1407630817000.0
@AntonioFrench This is just too much to take in. How many times are we going to reenact these insane MURDERS by thug cops?,0,bells110,1407630872000.0
@MeghanOMG Hard making sense of it... Most likely there was no sense in it.,0,RottDawg,1407630931000.0
"@RottDawg I know - this is beyond hurtful. At the end of the day, we are HUMAN BEINGS!",0,MeghanOMG,1407631481000.0
“@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/tFtVTGKjC4”,0,prinerin,1407632284000.0
.@AntonioFrench .@Michelle9647 adolescence doesn't end until 25. WHEN will we ever get our young ppl to adulthood safely and well placed?,0,Cultiv8Hope,1407633239000.0
@AntonioFrench @Michelle9647 grrrrrrrrrrrrrrrrrrr,0,Pr260,1407633297000.0
"@AntonioFrench @AP THIS is not an ""angry"" mob; this is a grieving mother who's son was just murdered. Why can't U see that? #StopThugCops",0,bells110,1407634671000.0
@AntonioFrench my heart aches for her! This was so wrong! #FergusonShooting May God help you thru  the life u had is n now gone! So sorry😔,0,Donnajcherold,1407639833000.0
The TL to follow: @AntonioFrench. Catch up on #FergusonShooting of an 18 year old boy but ignore the tired narrative of others.,0,mochamomma,1407672136000.0
“@prinerin: “@AntonioFrench: The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/72KHgLfMR3””,0,mochamomma,1407672159000.0
