coordinates,created,favorite_count,has_url,hashtags_count,id,in_reply_id,in_reply_user,is_rumor,is_source_tweet,lang,mentions_count,retweet_count,retweeted,symbols_count,text,thread,tweet_length,urls_count,user.followers_count,user.friends_count,user.tweets_count
,Wed Oct 22 13:55:50 +0000 2014,21,False,2,524922078638903296,,,False,True,en,0,393,False,0,Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,524922078638903296,105,0,66724,296,38424
,Wed Oct 22 13:57:05 +0000 2014,0,False,0,524922392582586368,524922078638903296,,False,False,en,2,0,False,0,.@dominiquehardy @CBCOttawa related to St-Jean ?,524922078638903296,48,0,278,636,4116
,Wed Oct 22 13:57:52 +0000 2014,0,False,0,524922589861658624,524922392582586368,,False,False,fr,2,0,False,0,@petitmetroide @CBCOttawa Il est tôt pour une quelconque hypothèse.,524922078638903296,67,0,4904,2026,19304
,Wed Oct 22 13:58:14 +0000 2014,0,False,0,524922681595269120,524922078638903296,,False,False,en,1,1,False,0,Prudence avant d'en savoir plus “@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info.,524922078638903296,133,0,3646,2203,16771
,Wed Oct 22 13:59:47 +0000 2014,0,False,0,524923071090917376,524922681595269120,,False,False,fr,1,0,False,0,"@StephBerthomet Ça va être rapporté partout sans validation,sur les radio poubelles pour crée une panique collective. L'EI nous attaque !!!",524922078638903296,139,0,178,130,8047
,Wed Oct 22 13:59:53 +0000 2014,0,False,2,524923096911052802,524922078638903296,,False,False,en,1,0,False,0,“@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews”,524922078638903296,119,0,876,873,2703
,Wed Oct 22 14:01:12 +0000 2014,0,False,1,524923429573918720,524922078638903296,,False,False,en,1,0,False,0,"Wow. Drove by, saw yellow tape, assumed renos. MT @CBCOttawa: Ottawa police confirm a shooting at the War Memorial minutes ago. #OTTnews",524922078638903296,136,0,1337,997,19839
,Wed Oct 22 14:04:35 +0000 2014,0,False,0,524924278480044032,524922681595269120,,False,False,fr,2,0,False,0,@StephBerthomet @CBCOttawa c'est déjà sur LCN et partout.,524922078638903296,57,0,178,130,8047
,Wed Oct 22 14:05:21 +0000 2014,0,False,0,524924471992664065,524923071090917376,,False,False,fr,2,0,False,0,“@RenkoQC: @StephBerthomet Ça va être ...Pkoi parles tu de radio poubelle ?,524922078638903296,75,0,54,97,1191
,Wed Oct 22 14:08:38 +0000 2014,0,False,0,524925297586888706,524923071090917376,,False,False,fr,2,0,False,0,@RenkoQC @StephBerthomet Heinh?? Ça va man? Tu as pris te pilules ?,524922078638903296,67,0,210,87,5475
,Wed Oct 22 14:09:30 +0000 2014,0,False,2,524925515518312448,524922078638903296,,False,False,ja,1,5,False,0,カナダの戦争記念碑で銃撃。オタワ州警察が確認。 @CBCOttawa Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,524922078638903296,140,0,9845,3649,182117
,Wed Oct 22 14:11:35 +0000 2014,0,False,0,524926041786437633,524925297586888706,,False,False,fr,2,0,False,0,"@Sebas_Lev @StephBerthomet Apprend à lire, comprend le sarcasme et après tu devrais avoir le droit de m'écrire.",524922078638903296,111,0,178,130,8047
,Wed Oct 22 14:12:38 +0000 2014,0,False,0,524926305708802048,524924471992664065,,False,False,fr,2,0,False,0,@en_passant_la @StephBerthomet Parce que tout les journaux et radio ont rependu la nouvelle avant même d'avoir la confirmation des faits.,524922078638903296,137,0,178,130,8047
,Wed Oct 22 14:13:49 +0000 2014,0,False,0,524926604158726146,524926305708802048,,False,False,fr,3,0,False,0,"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Mais, tu veux qu'ils attendent la fin ? Des fois, ça peut sauver des vies donner info ?",524922078638903296,133,0,54,97,1191
,Wed Oct 22 14:14:54 +0000 2014,0,False,0,524926875882516481,524926604158726146,,False,False,fr,2,0,False,0,"@en_passant_la @StephBerthomet Dans l'état actuel post-Richlieu, ça va juste créé de la panique surtout si c'est pas fonder.",524922078638903296,124,0,178,130,8047
,Wed Oct 22 14:15:41 +0000 2014,0,False,0,524927073853665280,524926875882516481,,False,False,fr,3,0,False,0,“@RenkoQC: @en_passant_la @StephBerthomet ... Mais comment procèderais tu ?,524922078638903296,75,0,54,97,1191
,Wed Oct 22 14:17:26 +0000 2014,0,False,0,524927514146512896,524927073853665280,,False,False,fr,2,0,False,0,@en_passant_la @StephBerthomet J'attendrais que ce soit fonder ? Je vit pas ma vie pour des côté d'écoute.,524922078638903296,106,0,178,130,8047
,Wed Oct 22 14:19:15 +0000 2014,0,False,0,524927971694743552,524927073853665280,,False,False,fr,1,0,False,0,@en_passant_la La peur fait bien souvent beaucoup plus de mal que de potentiels balles. L'humain étant ce qu'il est.,524922078638903296,116,0,178,130,8047
,Wed Oct 22 14:19:38 +0000 2014,0,False,0,524928067249377280,524927514146512896,,False,False,fr,3,0,False,0,"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Honnêtement, je pense pas qu'un journaliste souhaite amener une fausse info ?",524922078638903296,123,0,54,97,1191
,Wed Oct 22 14:20:08 +0000 2014,0,False,0,524928191627280384,524926875882516481,,False,False,fr,2,0,False,0,@RenkoQC @en_passant_la c'est confirmé et des journalistes étaient sur place.,524922078638903296,77,0,3646,2203,16771
